Code	Langue	Source	Description	Infos RERO	nb Docs total	URI LEXVO	nb de doc entre 1301-1400	nb de doc entre 1401-1500	nb de doc entre 1501-1600	nb de doc entre 1601-1700	nb de doc entre 1701-1800	nb de doc entre 1801-1900	nb de doc entre 1901-2000	nb de doc entre 2001-2100	Statut : code	Statut : verbalisation	Statut : description	Statut : source	Classification
sco	écossais	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of United Kingdom	(gaélique)	https://api.istex.fr/document/?q=language:sco	http://lexvo.org/id/iso639-3/sco	https://api.istex.fr/document/?q=language:sco AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:sco AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:sco AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:sco AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:sco AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:sco AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:sco AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:sco AND publicationDate:[2001 TO 2100]	5	Developing		https://www.ethnologue.com/language/sco	Indo-European, Germanic, West, English
gla	gaélique	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of United Kingdom	écossais (gaélique) ; gaélique d'Ecosse ; gaélique écossais	https://api.istex.fr/document/?q=language:gla	http://lexvo.org/id/iso639-3/gla	https://api.istex.fr/document/?q=language:gla AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:gla AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:gla AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:gla AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:gla AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:gla AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:gla AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:gla AND publicationDate:[2001 TO 2100]	4	Educational	Statutory provincial language in Scotland (2005, Gaelic Language (Scotland) Act)	https://www.ethnologue.com/language/gla	Indo-European, Celtic, Insular, Goidelic
arc	araméen d'empire	http://www.iso.org/iso/fr/home/standards/language_codes.htm	n/a	chaldéen	https://api.istex.fr/document/?q=language:arc	http://lexvo.org/id/iso639-3/arc	https://api.istex.fr/document/?q=language:arc AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:arc AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:arc AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:arc AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:arc AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:arc AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:arc AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:arc AND publicationDate:[2001 TO 2100]	n/a
cze	tchèque	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Czech Republic		https://api.istex.fr/document/?q=language:cze	http://lexvo.org/id/iso639-3/ces	https://api.istex.fr/document/?q=language:cze AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:cze AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:cze AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:cze AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:cze AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:cze AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:cze AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:cze AND publicationDate:[2001 TO 2100]	1	National	De facto national language	https://www.ethnologue.com/language/ces	Indo-European, Balto-Slavic, Slavic, West, Czech-Slovak
dan	danois	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Denmark		https://api.istex.fr/document/?q=language:dan	http://lexvo.org/id/iso639-3/dan	https://api.istex.fr/document/?q=language:dan AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:dan AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:dan AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:dan AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:dan AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:dan AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:dan AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:dan AND publicationDate:[2001 TO 2100]	1	National	De facto national language	https://www.ethnologue.com/language/dan	Indo-European, Germanic, North, East Scandinavian, Danish-Swedish, Danish-Riksmal, Danish
gle	irlandais	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Ireland	gaélique d'Irlande	https://api.istex.fr/document/?q=language:gle	http://lexvo.org/id/iso639-3/gle	https://api.istex.fr/document/?q=language:gle AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:gle AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:gle AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:gle AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:gle AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:gle AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:gle AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:gle AND publicationDate:[2001 TO 2100]	3	Wider communication	Statutory language of national identity (1937, Constitution, Article 8(1)). Widely used as L2 in all parts of the country (Salminen 2007)	https://www.ethnologue.com/language/gle	Indo-European, Celtic, Insular, Goidelic
ang	anglo-saxon	http://www.iso.org/iso/fr/home/standards/language_codes.htm	n/a		https://api.istex.fr/document/?q=language:ang	http://lexvo.org/id/iso639-3/ang	https://api.istex.fr/document/?q=language:ang AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:ang AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:ang AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:ang AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:ang AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:ang AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:ang AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:ang AND publicationDate:[2001 TO 2100]	n/a
swe	suédois	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Sweden		https://api.istex.fr/document/?q=language:swe	http://lexvo.org/id/iso639-3/swe	https://api.istex.fr/document/?q=language:swe AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:swe AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:swe AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:swe AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:gle AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:swe AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:swe AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:swe AND publicationDate:[2001 TO 2100]	1	National	Statutory national language (2009, Language Act. No. 600, Articles 4,5,6)	https://www.ethnologue.com/language/swe	Indo-European, Germanic, North, East Scandinavian, Danish-Swedish, Swedish
chi	chinois	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A macrolanguage of China		https://api.istex.fr/document/?q=language:chi	http://lexvo.org/id/iso639-3/zho	https://api.istex.fr/document/?q=language:chi AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:chi AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:chi AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:chi AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:chi AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:chi AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:chi AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:chi AND publicationDate:[2001 TO 2100]	n/a			https://www.ethnologue.com/language/zho
alg	algonquin (langues)	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Canada	massachusett ;  menomini ; natick	https://api.istex.fr/document/?q=language:alg	http://lexvo.org/id/iso639-5/alg	https://api.istex.fr/document/?q=language:alg AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:alg AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:alg AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:alg AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:alg AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:alg AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:alg AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:alg AND publicationDate:[2001 TO 2100]	6b 	Threatened		https://www.ethnologue.com/language/alq	Algic, Algonquian, Ojibwa-Potawatomi
